test MCC		0.22819,	0.23842,	0.25275,	0.22508,	0.22888,	0.23018,	0.25693,	0.21796,	0.22787,	0.22542,	0.23205,	0.22728,	0.36110,	0.21736,	0.23002,	0.22102,	0.22767,	0.22367,	0.25129,	0.23166,
christopher forwarded the recipient an email .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth mailed a letter to the client .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth mailed the client a letter .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica mailed a package to the recipient .	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica mailed the recipient a package .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica mailed an email to the recipient .	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
jessica mailed the recipient an email .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole carried a package to the family .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole carried the family a package .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher carried the sofa to the family .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher carried the family the sofa .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael carried the bags to the new tenants .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael carried the new tenants the bags .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole schlepped a package to the new tenants .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole schlepped the new tenants a package .	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
jessica schlepped the sofa to the new tenants .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica schlepped the new tenants the sofa .	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
michael schlepped the bags to the new tenants .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael schlepped the new tenants the bags .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth lugged a package to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
elizabeth lugged the family a package .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason lugged the sofa to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason lugged the family the sofa .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole lugged the bags to the new tenants .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole lugged the new tenants the bags .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth dragged a package to the family .	1	0	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0
elizabeth dragged the family a package .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth dragged the sofa to the new tenants .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth dragged the new tenants the sofa .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole dragged the bags to the family .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole dragged the family the bags .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth showed a photo to the audience .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth showed the audience a photo .	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
christopher showed a new technique to the attendees .	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0
christopher showed the attendees a new technique .	1	1	1	0	1	0	1	1	0	1	1	1	0	0	0	1	1	0	1	0	0
christopher addressed a letter to the recipient .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher addressed the recipient a letter .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth addressed a speech to the audience .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth addressed the audience a speech .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason recited a letter to the audience .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason recited the audience a letter .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole recited a speech to the audience .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole recited the audience a speech .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason admitted the crime to the authorities .	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	0	1	0	1	1	1
jason admitted the authorities the crime .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica admitted the error to the authorities .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica admitted the authorities the error .	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
elizabeth confessed the crime to the authorities .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth confessed the authorities the crime .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher confessed the error to the authorities .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher confessed the authorities the error .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth distributed the medications to the children .	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
elizabeth distributed the children the medications .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher distributed the tests to the children .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher distributed the children the tests .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher administered the medications to the children .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher administered the children the medications .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher administered the tests to the children .	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
christopher administered the children the tests .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael begrudged her success to Alice .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael begrudged Alice her success .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole begrudged her beauty to Alice .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole begrudged Alice her beauty .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael begrudged her privilege to Alice .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael begrudged Alice her privilege .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole forgave her success to Alice .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole forgave Alice her success .	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1
jason forgave her beauty to Alice .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason forgave Alice her beauty .	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
jessica forgave her privilege to Alice .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica forgave Alice her privilege .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher charged a thousand dollars to rebecca .	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1
christopher charged rebecca a thousand dollars .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael charged a large sum to james .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael charged james a large sum .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason charged a week 's salary to james .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason charged james a week 's salary .	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
elizabeth charged 20 pounds to john .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth charged john 20 pounds .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael overcharged a thousand dollars to john .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael overcharged john a thousand dollars .	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
michael overcharged a large sum to james .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael overcharged james a large sum .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael overcharged a week 's salary to susan .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael overcharged susan a week 's salary .	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
christopher overcharged 20 pounds to james .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher overcharged james 20 pounds .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason bet a thousand dollars to david .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason bet david a thousand dollars .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason bet a large sum to rebecca .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason bet rebecca a large sum .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole bet a week 's salary to rebecca .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole bet rebecca a week 's salary .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole bet 20 pounds to john .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole bet john 20 pounds .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael spared a thousand dollars to james .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael spared james a thousand dollars .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
elizabeth spared a large sum to kelly .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth spared kelly a large sum .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher spared a week 's salary to james .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher spared james a week 's salary .	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth spared 20 pounds to james .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth spared james 20 pounds .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica fined a thousand dollars to kelly .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica fined kelly a thousand dollars .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason fined a large sum to kelly .	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	0	0	1	1
jason fined kelly a large sum .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole fined a week 's salary to kelly .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole fined kelly a week 's salary .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica fined 20 pounds to rebecca .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica fined rebecca 20 pounds .	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
michael taxed a thousand dollars to james .	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0
michael taxed james a thousand dollars .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason taxed a large sum to james .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason taxed james a large sum .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael taxed a week 's salary to david .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael taxed david a week 's salary .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth taxed 20 pounds to kelly .	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
elizabeth taxed kelly 20 pounds .	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1
elizabeth dropped the ball .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the ball dropped .	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1
david dropped the platter .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the platter dropped .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica dropped the vase .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
