Source	In/Out	Accept	Sent	Simple	Copula	Pred/SC	Result/Depictive	Particle	VP Adjunct	NP Adjunct	Temporal	Locative	Misc	Oblique	PP Arg-VP	PPArg-NP/AP	by-Phrase	Expletive	High Arity	Drop Arg	Add Arg	Passive	Imperative	Binding:Refl	Binding:Other	Matrix Q	Emb Q	Complex QP	RC	Island	CP Subj	CP Arg VP	CP Arg NP/AP	Non-finite CP	No C-izer	Deep Embed	Neg	Modal	Aux	Psuedo-Aux	Control	Raising	VP+Extract	VP arg-NP/AP	Non-finite VP Misc	Deverbal 	Rel NP	Trans NP	Compx NP	NNCompd	Rel Adj	Trans Adj	Dislocation	Info Struc	Frag/Paren	Coord	Subordinate/Cond	Ellipsis/Anaphor	S-Adjunct	Quantifier	Partitive	NPI/FCI	Comparative	Sem  Violation	Infl/Agr Violation	Extra/Mising Expr
bc01	In	0	What the water did to the bottle was fill it.		1																				1		1																		1	1								1												
bc01	In	0	What the water did to the whole bottle was fill it.		1										1												1																		1	1								1										1		
bc01	In	1	The tank leaked the fluid free.				1														1																																													
bc01	In	1	John lay the ball in the box.											1	1				1																																															
bc01	In	1	John owns the book.	1																																																														
bc01	In	1	We persuaded Mary to leave and Sue to stay.																1																						1															1										
bc01	In	1	Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.			1										1			1																		1		1												1						1	1	1	1						
bc01	In	0	Mary beautifully plays the violin.						1																																												1													
bc01	In	1	Clearly, John probably will immediately learn French perfectly.						1																													1																					1							
bc01	In	0	Sue gave to Bill a book.											1	1				1																																		1													
bc01	In	1	The men will all leave.																																			1															1							1						
bc01	In	1	John went home.	1																																																														
bc01	In	0	They represented seriously to the dean Mary as a genuine linguist.			1								1	1				1																																															
bc01	In	0	Us love they.	1																																																													1	
bc01	In	1	It is nice to go abroad.		1													1	1		1																								1	1																				
bc01	In	0	Mary intended John to go abroad.																															1	1																															1
bc01	In	1	I remembered having kissed Mary.																																				1						1																					
bc01	In	1	I can't believe Fred won't, either.																													1			1		1	1																				1								
bc01	In	1	John wants to read Fred's story, and I also want to.																																						1															1		1								
bc01	In	0	We wanted to invite someone, but we couldn't decide who to.																								1														1															1		1		1						1
bc01	In	1	Mary will read Fred's story, and Joe will read Holly's.																																			1																		1		1								
bc01	In	0	Mary claimed that eating cabbage, Holly shouldn't.																													1					1	1															1	1											1	
bc01	In	0	Mary came to be introduced by the bartender and I also came to be.														1					1																		1	1															1		1								
bc01	In	1	If I can, I will work on it.												1																							1																			1	1								
bc01	In	1	Joe's neuroses bother his patrons, and Sally does too.																						1																															1		1								
bc01	In	0	I know which book José didn't read for class, and which book Lilly did it for him.						1				1												1		1	1									1		1																	1		1								
bc01	In	0	This is the book which Bob reviewed, and this is the one which Fred won't do it.		1																								1								1	1								1			1							1		1								1
bc01	In	1	I know which book Mag read, and which book Bob said that you hadn't.																								1	1				1				1																				1		1								
bc01	In	0	I know which book Mag read, and which book Bob read my report that you hadn't.																1		1					1		1		1			1			1	1		1							1		1								1		1								
bc01	In	1	I'm sure I would like him to eat fruit more than I would cookies.		1														1														1		1			1			1											1				1		1								
bc01	In	1	Rusty talked about himself only after Mary did talk about him.												1									1	1														1																		1									
bc01	In	1	Fred talked about everything before Rusty did talk about something.												1																								1																		1		1	1						
bc01	In	1	John often meets Mary.	1					1		1																																																							
bc01	In	0	The problem perceives easily.						1											1																																														
bc01	In	1	A hundred men surrounded the fort.																																																									1						
bc01	In	1	We elected me.	1																																																														
bc01	In	0	Which report that John was incompetent did he submit?		1																				1	1		1					1						1									1																		
bc01	In	1	Mary has always preferred lemons to limes.											1	1				1																				1																											
r-67	In	1	He let the cats which were whining out.					1											1										1										1																											
r-67	In	1	What did Bill buy?																							1													1																											
r-67	In	1	Mary saw the boy walking toward the railroad station.			1						1							1																										1					1																
r-67	In	0	A proof that the claim had been made was given that John had lied.																	1	1	1											1															1					1													
r-67	In	1	He attributed to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.											1	1		1		1			1							1																				1				1							1	1					
r-67	In	0	The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.			1									1																													1		1		1					1													
r-67	In	0	I want that Bill left to remain a secret.			1													1													1									1																									
r-67	In	0	I know a man who Tom drives as drives.																																				1																		1	1								
r-67	In	0	Drowning cats, which is against the law, are hard to rescue.		1										1														1														1	1	1	1						1														
r-67	In	1	Muriel said nothing else than that she had been insulted.																	1		1											1				1		1										1																	
r-67	In	0	Himself is understood by Rutherford.														1					1		1															1																											
r-67	In	1	I feel that Arch will show up.					1																								1						1																												
r-67	In	0	The proof this set is recursive is difficult.		1																												1		1													1																		
r-67	In	0	The madrigals which Henry plays the lute and sings sound lousy.		1																								1	1																			1							1										
r-67	In	1	Tom picked these grapes, and I washed some turnips, and Suzie will prepare these grapes.																																			1																		1				1						
r-67	In	1	Where did you go and who ate what?																							1													1																	1										
r-67	In	0	Which boy's did we elect guardian's employer president?			1													1							1		1		1																			1				1													
r-67	In	1	How sane is Peter?		1																					1		1																																						
r-67	In	1	I live at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.						1			1			1														1																				1							1										
r-67	In	0	I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.						1			1																	1																				1							1										
r-67	In	1	Who is she trying to make up to now?					1	1			1			1											1													1		1																									
r-67	In	0	Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.											1						1																																														
r-67	In	1	Mike talked about politics yesterday to my friends.						1		1			1	1				1																																		1													
r-67	In	1	It was expected by the reporters that the principal would fire some teacher.														1	1			1	1										1						1	1																					1						
r-67	In	0	Which hat did Mike quip that she never wore?						1		1															1		1				1					1																													
r-67	In	0	Which girl did Mike quip never wore this hat?						1		1															1		1		1		1			1		1		1																											
r-67	In	1	We donated wire for the convicts to build cages with.						1				1																					1																																
r-67	In	0	I won't have some money.																																		1	1																						1		1				
r-67	In	1	Do you believe the claim that somebody was looking for something?												1											1							1						1									1												1						
r-67	In	1	I won't ask you to believe that he tried to force me to give her any money.											1					1																	1	1	1			1																					1				
r-67	In	1	That Sam sometimes didn't sleep must have pleased somebody.																												1						1	1	1																					1						
r-67	In	1	I talked to Winston about himself.											1	1				1					1																																										
r-67	In	1	That the fuzz wanted him worried John, but that the fuzz wanted her didn't worry Mary.																						1						1						1		1																	1										
r-67	In	1	I'll work on it if Sam will be working on it.												1																							1	1																		1									
r-67	In	1	I'll work on it if I can.												1																							1																			1	1								
r-67	In	0	Here's a knife with which for you to cut up the onions.		1		1						1															1	1					1																																
r-67	In	1	Fluffy is sick, which not everybody knows.																										1			1			1		1																						1	1						
r-67	In	1	Maxwell is quite a doctor.		1																																																													
r-67	In	0	The younger woman might have been tall and, and the older one definitely was, blond.		1																																	1	1																	1		1	1							
r-67	In	1	Sally is tall, and may be blond, and Sheila is short, and definitely is, blond.		1																																	1																		1										
r-67	In	1	I have to try to finish grading some papers.																																	1				1	1				1															1						
r-67	In	0	The socks are ready for for you to put on to be planned.		1			1											1	1		1									1		1	1		1																1														
r-67	In	1	It is easy to play sonatas on this violin.						1				1					1																										1								1														
r-67	In	1	This violin is difficult to play sonatas on.		1										1				1																								1	1								1														
r-67	In	0	My mother is easy to please my father and.		1																									1													1	1								1				1		1								
r-67	In	1	Poor Bill, it had started to rain and he had no umbrella.															1																			1		1		1														1	1				1						
r-67	In	0	That the cops spoke to the janitor about it yesterday is terrible, that robbery.		1				1		1			1	1				1												1																								1											
r-67	In	0	Every student, and he wears socks, is a swinger.		1																				1																														1	1				1						
r-67	In	1	That girl was given my binoculars by him.											1			1		1			1																																												
r-67	In	1	Bill didn't allege that Roger had eaten anything.																													1					1		1																							1				
r-67	In	1	Nobody who hates to eat anything should work in a delicatessen.						1			1																	1								1	1											1											1		1				
r-67	In	1	Everybody around here who ever buys anything on credit talks in his sleep.						1				1												1				1																				1											1		1				
r-67	In	0	I can't remember the name of somebody who had misgivings.													1													1								1	1									1		1											1						
r-67	In	0	No writer, and no playwright, meets in Vienna.																																		1																			1				1					1	
r-67	In	0	No writer, nor any playwright, meets in Vienna.																																																					1				1		1			1	
r-67	In	1	That you will marry any student is not certain.		1																										1						1	1																								1				
rhl07	In	1	Felicia kicked the ball off the bench.						1			1																																																						
rhl07	In	1	I sent the package halfway around the world.						1				1	1	1				1																																															
rhl07	In	0	Sam gave the ball out of the basket.											1	1				1																																													1		
rhl07	In	0	Sam offered the ball out of the basket.											1	1				1																																															
rhl07	In	1	Park Square has a festive air.	1																																																														
rhl07	In	1	The worker will have a job.																																			1																												
rhl07	In	0	No one can forgive that comment to you.											1	1				1																		1	1																						1						
rhl07	In	1	We launched the rocket to the moon, but it blew up before it got there.					1	1			1																																												1	1									
rhl07	In	1	Sarah promised Catherine her old car, but then gave it to her son instead.											1	1				1						1																																		1							
rhl07	In	0	I lent the book partway to Tony.						1				1	1	1				1																																															
l-93	In	1	The farmer loaded the cart with apples.											1	1				1																																															
l-93	In	0	The farmer dumped the cart with apples.												1				1																																															
l-93	In	1	Martha carved the baby a toy out of wood.						1				1	1					1		1																																													
l-93	In	1	The bread cuts easily.						1											1																																														
l-93	In	0	Janet broke Bill on the finger.											1	1				1		1																																													
l-93	In	1	Janet broke the cup.	1																																																														
l-93	In	1	The visitor rang the bell.	1																																																														
l-93	In	1	We pulled free.		1															1																																														
l-93	In	1	That movie always shocks people.						1		1																																																							
l-93	In	1	That movie always shocks.						1		1									1																																														
l-93	In	0	Sharon came the room.	1																																																														1
l-93	In	1	Bill sent a package to Tom.											1	1				1																																															
l-93	In	1	That acorn will grow into an oak tree.			1									1																							1																												
l-93	In	1	He turned into a frog.		1										1																																																			
l-93	In	1	I mixed the sugar into the butter.											1	1						1																																													
l-93	In	0	Brian threw the fence with the stick.										1	1	1																																																			
l-93	In	1	Mira condemned Terry for the accident.						1				1																																																					
l-93	In	1	We investigated the area for bombs.											1	1				1		1																																													
l-93	In	1	I sensed his eagerness.	1																1																																														
l-93	In	0	They praised the dedication in the volunteers.												1	1																															1																			
l-93	In	1	The earth was believed to be round.		1															1		1																				1																								
l-93	In	1	Sarah smiled a charming smile.																		1																																													
l-93	In	1	Sandra beamed a cheerful welcome.																		1																																													
l-93	In	1	You've really lived it up.					1										1																					1																											
l-93	In	0	Paperback books lift onto the table easily.						1											1																														1																
l-93	In	0	The books lifted onto the table.						1			1								1																																														
l-93	In	1	Jessica loaded boxes under the wagon.											1	1				1																																															
l-93	In	1	Jessica loaded boxes on the wagon.											1	1				1																																															
l-93	In	0	Jessica crammed boxes at the truck.											1	1				1																																															
l-93	In	0	Lora buttered at the toast.												1																																																			1
l-93	In	1	Carla shoveled the walk.																		1																									1																				
l-93	In	1	Nora sent the book.																	1																																														
l-93	In	1	Nora sent Peter the book.											1					1																																															
l-93	In	1	Carla slid the book.																	1																																														
l-93	In	0	Carla slid at the book.												1					1																																														1
l-93	In	1	Amanda carried the package to Pamela.											1	1				1																																															
l-93	In	0	Packages drive easily to New York.						1			1	1							1																																												1		
l-93	In	0	The chair pushed.																	1																																														
l-93	In	1	We offered a job to her.											1	1				1																																															
l-93	In	0	A job offered.																	1																																														
l-93	In	1	Brown presented a plaque to Jones.											1	1				1																																															
l-93	In	1	Carmen bought Mary a dress.											1					1		1																																													
l-93	In	1	Carmen obtained the spare part at the hardware store.						1			1																																						1																
l-93	In	0	Michelle kept the desk with the papers.			1				1			1		1				1																														1																	
l-93	In	1	Frances hid the presents in the drawer.						1			1																																																						
l-93	In	1	The needle poked the cloth.	1																																																														
l-93	In	1	Carrie touched that cat.	1																																																														
l-93	In	0	Herman whipped the sugar and the cream.																																																					1										
l-93	In	1	Linda taped the picture to the wall.											1	1				1																																															
l-93	In	1	Linda taped the picture onto the wall.											1	1				1																																															
l-93	In	1	The child and her mother clung together.																						1																						1									1										
l-93	In	1	This flyer and that flyer differ.																																																					1										
l-93	In	0	This flyer and that flyer differ apart.			1																																																		1										1
l-93	In	0	The jeweller scribbled the contract with his name.											1	1				1						1																																									
l-93	In	1	The gardener grew that acorn into an oak tree.				1																																																											
l-93	In	0	I shaped a loaf.																	1																																														
l-93	In	0	The children amused.																	1																																														1
l-93	In	1	Susan whispered the news.																	1																																														
l-93	In	1	Susan whispered at Rachel.											1	1																																																			
l-93	In	1	Ellen said that melons were selling well.																	1												1							1																											
l-93	In	0	Ellen said about the present conditions.						1				1							1																																														1
l-93	In	1	Ellen warned Helen against skating on thin ice.						1			1		1	1				1																										1	1																				
l-93	In	1	Cynthia nibbled on the carrot .												1																																																			
l-93	In	0	Cynthia chewed.	1																1																																														1
l-93	In	1	Paul laughed at Mary.												1																																																			
l-93	In	0	Linda winked her lip.																		1				1																																							1		
l-93	In	0	My heart is pounding me.																		1				1														1																											
l-93	In	1	Sharon fainted from hunger.												1						1																																													
l-93	In	1	The witch poisoned the children.	1																																																														
l-93	In	1	A grandfather clock ticked in the hallway.						1			1																																						1																
l-93	In	0	I squeaked the door.																		1																																													
l-93	In	1	Over the fire there bubbled a fragrant stew.						1			1						1			1																																1	1												
l-93	In	1	Soaring temperatures are predicted for this weekend.						1		1				1					1	1																		1							1																				
l-93	In	0	The fort fluttered with many flags.												1						1																																													
l-93	In	1	The voices echoed in the hall.						1			1																																																						
l-93	In	1	The stream twists through the valley.						1			1																																																						
l-93	In	0	There presented itself a wonderful opportunity yesterday.						1		1							1			1			1																																										
l-93	In	1	A wonderful opportunity presented itself to him yesterday.						1		1								1					1																																										
l-93	In	1	Out of the box jumped a little white rabbit.												1																																						1	1												
l-93	In	1	Penny skated around the rink.						1			1																																																						
l-93	In	1	Jackie accompanied Rose.																	1																																														
ks08	In	0	many information was provided.																	1		1																	1																					1				1	1	
ks08	In	0	John offers many advice.																	1																																								1				1	1	
ks08	In	1	The cake that Jones got was more delicious than the one that Smith got.		1											1													1																				1		1							1					1			
ks08	In	1	We recommend to eat less cake and pastry.																																						1															1							1			
ks08	In	1	I saw that gas can explode.			1													1													1						1							1					1																
ks08	In	1	He washed her.	1																																																														
ks08	In	0	Wash you!	1																			1		1																																								1	
ks08	In	0	They have no in.																																		1																							1				1		1
ks08	In	0	Some my jobs are in jeopardy.		1																																																							1	1					1
ks08	In	0	It was the policeman met that several young students in the park last night.						1		1	1						1														1																					1	1												
ks08	In	1	did the policeman meet in the park?						1			1														1													1																											
ks08	In	1	John put old books in the box.											1	1				1																																															
ks08	In	0	The monkeys proud of their leader.			1										1									1																										1															1
ks08	In	0	John sounded very.	1	1																																																													1
ks08	In	1	I don't know if I should agree.																								1										1	1	1																											
ks08	In	1	John bought a book on the table.						1	1		1																																					1																	
ks08	In	1	John called the president a fool.			1													1																																															
ks08	In	1	I forgot how good beer tastes.		1				1				1														1	1																																						
ks08	In	1	This teacher is a genius.		1																																																													
ks08	In	0	A good friend is remained to me by him.											1	1		1		1		1	1																	1																											
ks08	In	1	John ate his noodle quietly.																						1																																									
ks08	In	1	A smith hammered the metal.	1																																																														
ks08	In	1	Sandy removed her ballet shoes.	1																					1																																									
ks08	In	1	This week will be a difficult one for us.		1											1																						1													1															
ks08	In	1	Benny worked in a shoe factory when he was a student.		1				1			1																																						1							1									
ks08	In	1	Everyone hoped that she would sing.																						1							1						1																						1						
ks08	In	1	This proved a decisive factor.		1																																																													
ks08	In	1	The crocodile devoured the doughnut.	1																																																														
ks08	In	1	John is afraid of Bill.		1											1																																			1															
ks08	In	0	John put under the bathtub.												1					1																																														1
ks08	In	1	John placed Kim behind the garage.											1	1				1																																															
ks08	In	0	Kim depends for Sandy.												1																																																			
ks08	In	1	John put the book in the box.											1	1				1																																															
ks08	In	1	John taught English Syntax to new students.											1	1				1																																															
ks08	In	1	John regards Bill as a good friend.			1									1				1																																															
ks08	In	0	Kim put in the box.												1					1																																														1
ks08	In	1	The chickens seem fond of the farmer.		1											1																																			1															
ks08	In	1	The rules require that the executives be polite.		1																											1		1																																
ks08	In	0	That Fred was unpopular nominated Bill.		1																										1																																	1		
ks08	In	1	They were taking a hard look at possible FTA.													1																							1							1	1																			
ks08	In	0	John paid me against the book.											1	1				1																																															
ks08	In	1	The committee will study the feasibility of setting up a national computer network.					1								1																						1								1	1			1																
ks08	In	1	We made them be rude.		1														1																										1																					
ks08	In	1	After reading the pamphlet, Judy threw it into the garbage can.											1	1				1						1																				1					1									1							
ks08	In	0	Students studying English reads Conrad's Heart of Darkness while at university.						1	1	1	1	1																																1				1																1	
ks08	In	1	I read some of the book.																																																									1	1					
ks08	In	1	Most of the fruit is rotten.		1																																																							1	1					
ks08	In	0	Neither of students failed.																																																									1	1					1
ks08	In	0	I drank some of water.																																																									1	1					1
ks08	In	1	It is a golden hair.	1	1																																																													
ks08	In	1	The boy in the doorway waved to his father.							1		1			1										1																								1																	
ks08	In	1	That dog is so ferocious, it even tried to bite itself.		1																			1									1		1						1											1														
ks08	In	0	He washed yourself.	1																				1																																									1	
ks08	In	0	John is easy to please Kim.		1																1																							1								1														1
ks08	In	0	There seemed to be intelligent.	1														1		1																						1																								
ks08	In	1	John tried to please Stephen.																																						1																									
ks08	In	0	We believed John to be a fountain in the park.		1					1		1							1																							1							1															1		
ks08	In	0	It tries to leave the country.															1																							1																							1		
ks08	In	1	John tries to leave the country.																																						1																									
ks08	In	1	Under the bed seems to be a fun place to hide.		1																															1						1	1	1								1														
ks08	In	0	There is believed to be sheep in the park.		1													1		1	1	1																	1			1																							1	
ks08	In	0	I hope to would study in France.						1			1																										1			1																								1	1
ks08	In	1	John can kick the ball.																																			1																												
ks08	In	0	John will rain tomorrow.						1		1																											1																										1		
ks08	In	0	We expect there to will rain.															1	1																			1				1																							1	1
ks08	In	1	John was found in the office.			1									1					1		1																																												
ks08	In	0	Did the child be in the school?		1										1											1													1																											1
ks08	In	1	It did not rain.															1																			1		1																											
ks08	In	1	John wants not to leave the town.																																		1				1																									
ks08	In	1	Mary likes to tour art galleries, but Bill hates to.																																						1															1		1								
ks08	In	1	They needn't take this exam.																																		1	1																												
ks08	In	1	Ann may spend her vacation in Italy.											1	1				1																			1																												
ks08	In	1	They love to play golf, but I do not.																																		1		1		1															1		1								
ks08	In	1	George has spent a lot of money, hasn't he?																							1													1																1			1		1	1					
ks08	In	1	As a statesman, scarcely could he do anything worth mentioning.			1				1																												1					1	1					1			1	1						1	1		1				
ks08	In	1	We never found any of the unicorns.																																		1																								1	1				
ks08	In	1	One of Korea's most famous poets wrote these lines.																																																									1	1					
ks08	In	1	Somebody apparently struck the unidentified victim during the early morning hours.						1		1																																							1									1	1						
ks08	In	1	The car was driven.																	1		1																	1																											
ks08	In	1	Ricky can be relied on.																	1		1																1	1																											
ks08	In	1	The bed was slept in.						1			1								1		1																																												
ks08	In	0	A pound was weighed by the book.		1												1				1	1																	1																											
ks08	In	1	Who do you think Tom saw?																							1						1			1				1																											
ks08	In	1	he had spent five thousand dollars.																																				1																					1						
ks08	In	0	Fed knows which politician her to vote for.												1												1							1									1																							
ks08	In	1	How did you guess that he fixed the computer?						1				1													1						1							1																											
ks08	In	1	The committee knows whose efforts to achieve peace the world should honor.																								1	1								1		1			1			1				1																		
ks08	In	0	Which house does your friend live?																							1		1											1																											1
ks08	In	1	the baker from whom I bought these bagels left.											1	1				1									1	1																				1																	
ks08	In	1	I found the place where we can relax.						1			1																	1									1											1																	
ks08	In	0	Jack is the person with whom Jenny fell in love with.		1									1	1				1									1	1																				1																	1
ks08	In	1	There is a bench to sit on.															1			1																						1																							
ks08	In	1	I met the man who grows peaches.																										1																				1																	
ks08	In	1	Which topic did you choose without getting his approval?						1				1													1		1		1																																				
ks08	In	0	Which topic did you get bored because Mary talked about?		1										1											1		1		1																											1									
ks08	In	1	That is the reason why he resigned.		1																						1						1															1																		
ks08	In	1	It bothers me that John coughs.															1	1													1																																		
ks08	In	1	To please John is easy.		1																																								1	1																				
ks08	In	1	Kim is eager to please Tom.		1																																							1								1														
ks08	In	1	That we invaded Iraq really bites.																												1																																			
ks08	In	1	It annoys me that Fido barks.															1	1		1											1																																		
ks08	In	0	Who achieved the best result was Angela.		1																						1																											1												
ks08	In	1	It was the peasant girl who got it.		1													1	1		1						1																							1				1												
ks08	In	1	That kind of person is hard to find anyone to look after.		1					1			1		1	1																				1							1	1			1		1			1										1				
kl93	In	1	A sick owl doesn't hunt mice.																																		1		1																							1				
kl93	In	1	Each candidate who has interest in semantics will be admitted to the department.												1	1				1		1							1																		1													1						
kl93	In	1	Each author whose contribution is written in any language other than English will provide a summary in English.						1	1			1			1				1		1						1	1									1	1										1		1									1		1				
kl93	In	1	I'm sure we even got these tickets!		1																												1		1																	1														
kl93	In	1	I'm even sure we got these tickets!		1																												1	1																												1				
kl93	In	1	It's not because I have any sympathy for urban guerillas that I helped him.													1		1														1					1										1							1			1		1			1				
kl93	In	1	It isn't because Sue said anything bad about me that I'm angry.		1				1				1					1	1		1											1					1																				1		1							
b_82	In	0	That he was hungry, John whined.		1																											1																					1	1												
b_82	In	0	1 gave Mary after the party a book.						1		1			1					1																																		1													
b_82	In	0	Because she's so pleasant, as for Mary I really like her.		1																				1																												1	1			1		1							
b_82	In	1	Though he may hate those that criticize Carter, it doesn't matter.															1			1								1								1	1	1										1								1	1								
b_82	In	1	With no job would John be happy.		1																																1	1															1	1						1						
b_73	In	1	I have much of the manuscript left to type.			1																																					1	1								1								1	1					
b_73	In	1	He's a more reliable man.		1																																																										1			
b_73	In	0	Any trouble is what I don't want.		1																						1										1		1														1	1								1				
b_73	In	1	They may grow as high as bamboo.				1																															1																									1			
b_73	In	1	Some of them made as many errors as 20.																																																		1							1	1		1			
c_13	In	0	Sally kissed himself.	1																				1																																									1	
c_13	In	1	Drew believes I think Rosie loves magazine ads.																													1			1	1														1																
c_13	In	1	Dave, Dan, Erin, Jaime, and Alina left.																																																					1										
c_13	In	1	Hopefully, we'll make it through the winter without snow.						1				1		1			1																				1															1						1							
c_13	In	0	Blue leather shows herself that Betsy is pretty.		1														1					1								1																																	1	
c_13	In	1	Gwen hit the baseball.	1																																																														
c_13	In	0	I hit that you knew the answer.																													1																																1		
c_13	In	1	I've lost my wallet or I've lost my mind.																						1														1																	1										
c_13	In	1	It was a brand new car that he bought.															1														1																						1												
c_13	In	1	He likes cookies and he hates crumb cake.																																																					1										
c_13	In	1	They chased the man with the car.						1	1			1																																				1																	
c_13	In	1	I didn't have a red cent.																																		1		1																							1				
c_13	In	0	the book of poems and from Blackwell takes a very long time to read.							1			1			1			1																								1				1		1							1										
c_13	In	1	the one with a red cover takes a very long time to read.						1	1			1						1																								1						1									1								
c_13	In	1	John has a fear of dogs.													1																														1	1																			
c_13	In	0	The building's the roof is leaking.																																				1								1																			1
c_13	In	0	the panther's the coat is dark black.		1																																																													1
c_13	In	1	Colin asked if they could get a mortgage.																								1											1																												
c_13	In	1	The man I saw get into the cab robbed the bank.												1				1										1																1				1																	
c_13	In	1	I know you eat asparagus.																													1			1																															
c_13	In	1	John's drum will always bother me.						1		1																											1																												
c_13	In	1	An evil thought struck Dave.	1																																																														
c_13	In	1	In the classroom John put the book on the table.									1		1	1				1																																		1						1							
c_13	In	1	Phillip gave the medal to the soldier.											1	1				1																																															
c_13	In	0	Heidi thinks that Andy to eat salmon flavored candy bars.																													1		1															1																	
c_13	In	1	Heidi thinks that Andy should eat salmon flavored candy bars.																													1						1																												
c_13	In	1	He danced.	1																																																														
c_13	In	0	Did Calvin his homework?																							1													1																											1
c_13	In	1	Sylvia was slapping Jeff upside the head in martial arts class.						1			1																											1											1																
c_13	In	0	If I am a rich man, I'd buy a diamond ring.		1																																	1												1							1								1	
c_13	In	1	If he were a rich man, he'd buy a diamond ring.		1																																	1												1							1									
c_13	In	1	John is likely to leave.		1																																					1		1								1														
c_13	In	1	The manager laughed.	1																																																														
c_13	In	0	Was sunk.																	1		1																	1																											1
c_13	In	1	Who did you think kissed the gorilla?																							1						1			1				1																											
c_13	In	1	Have you seen my model airplane collection?																							1													1											1																
c_13	In	1	It seems that Lucy was mugged.															1														1																																		
c_13	In	1	I ate a salad that was filled with lima beans.											1	1					1		1							1										1										1	1																
c_13	In	1	There were four men arriving at the station when I pulled up.					1	1			1						1	1	1	1																		1																				1							
c_13	In	1	Jean is reluctant to dance.		1																																							1								1														
c_13	In	1	I want her to dance.																1																						1																									
c_13	In	1	Jean persuaded Robert.																	1																																														
c_13	In	1	Jean wants Bill to do the Macarena.																1																						1																									
c_13	In	1	The children admire their mother.																						1																						1																			
c_13	In	1	Who has Peter talked with?												1											1													1																											
c_13	In	1	Heidi likes her violin.	1																					1																																									
c_13	In	0	John thinks that Mary loves himself.																					1								1																																	1	
c_13	In	1	Which pictures of himself does John like?													1								1		1		1											1								1																			
d_98	In	1	Any owl hunts mice.																																																											1				
d_98	In	0	Any man didn't eat dinner.																																		1		1																							1		1		
d_98	In	1	A pilot could be flying this plane.																																			1	1																											
